DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
GERMCRK,German Creek,QLD1,Gas Turbine,Non-scheduled,3.3,In Service,,,
Unknown,Gerogery Battery - KCI,NSW1,Battery Storage,Scheduled,3.38,Publicly Announced,,,
Unknown,Gerogery Solar Farm - KCI,NSW1,Solar PV,Semi-scheduled,3.91,Publicly Announced,,,
Unknown,GIDDI BESS (Trafalgar East BESS - Stage 1),VIC1,Battery Storage,Scheduled,360.0,Publicly Announced,,,
Unknown,Gillenbah BESS - KCI,NSW1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
Unknown,Gin Gin BESS,QLD1,Battery Storage,Scheduled,2.4,Publicly Announced,2027.0,,
Unknown,Gippsland Dawn Offshore Wind Project,VIC1,Wind,Semi-scheduled,15.0,Publicly Announced,2032.0,,
GIRGSF,Girgarre Solar Farm,VIC1,Solar PV,Semi-scheduled,1.64,In Service,2025.0,,
GSTONE1,Gladstone,QLD1,Coal,Scheduled,280.0,Announced Withdrawal,,2029-03-31,2029.0
GSTONE2,Gladstone,QLD1,Coal,Scheduled,280.0,Announced Withdrawal,,2029-03-31,2029.0
GSTONE3,Gladstone,QLD1,Coal,Scheduled,280.0,Announced Withdrawal,,2029-03-31,2029.0
GSTONE4,Gladstone,QLD1,Coal,Scheduled,280.0,Announced Withdrawal,,2029-03-31,2029.0
GSTONE5,Gladstone,QLD1,Coal,Scheduled,280.0,Announced Withdrawal,,2029-03-31,2029.0
GSTONE6,Gladstone,QLD1,Coal,Scheduled,280.0,Announced Withdrawal,,2029-03-31,2029.0
Unknown,Gladstone SDA Energy Hub A - KCI,QLD1,Battery Storage,Scheduled,260.0,Publicly Announced,,,
Unknown,Gladstone SDA Energy Hub B - KCI,QLD1,Other,Scheduled,250.0,Publicly Announced,,,
Unknown,Gladstone West Gas Project - KCI,QLD1,Other,Scheduled,700.0,Publicly Announced,,,
Unknown,Glanmire Solar Farm,NSW1,Battery Storage,Scheduled,60.0,Anticipated,2027.0,,
Unknown,Glanmire Solar Farm,NSW1,Solar PV,Semi-scheduled,60.0,Anticipated,2027.0,,
Unknown,Glen Inness BESS - KCI,NSW1,Battery Storage,Scheduled,1.93,Publicly Announced,2030.0,,
GLBWNHYD,Glenbawn,NSW1,Hydro,Non-scheduled,5.0,In Service,,,
Unknown,Glenbawn Pumped Hydro Project,NSW1,Hydro,Scheduled,770.0,Publicly Announced,,,
Unknown,Glenbrae BESS,VIC1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
GESF1,Glenellen Solar Farm,NSW1,Solar PV,Semi-scheduled,200.0,Publicly Announced,,,
GLENMAG1,Glenmaggie Hydro,VIC1,Hydro,Non-scheduled,1.9,In Service,,,
Unknown,Glennis Creek Pumped Hydro Project,NSW1,Hydro,Scheduled,642.0,Publicly Announced,,,
Unknown,Glenrowan BESS,VIC1,Battery Storage,Scheduled,1.56,Publicly Announced,2029.0,,
Unknown,Glenrowan BESS - Storage - KCI,VIC1,Battery Storage,Scheduled,400.0,Publicly Announced,2029.0,,
GLENSF1,Glenrowan Solar Farm,VIC1,Solar PV,Semi-scheduled,4.2,In Service,,,
GLRWNSF1,Glenrowan West Solar Farm,VIC1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Glenroy Hybrid Facility - Solar And BESS,QLD1,Battery Storage,Scheduled,1000.0,Publicly Announced,,,
Unknown,Glenroy Hybrid Facility - Solar And BESS,QLD1,Solar PV,Semi-scheduled,1000.0,Publicly Announced,,,
Unknown,Globe Derby BESS,SA1,Battery Storage,Scheduled,230.0,Publicly Announced,,,
Unknown,Gnarwarre BESS Facility,VIC1,Battery Storage,Scheduled,4.2,Committed,2027.0,,
Unknown,Goat Hill Pumped Hydro,SA1,Hydro,Scheduled,230.0,Publicly Announced,,,
Unknown,Gol Gol Wind Farm,NSW1,Wind,Semi-scheduled,6.02,Publicly Announced,,,
Unknown,Golden Plains BESS,VIC1,Battery Storage,Scheduled,0.89,Anticipated,2027.0,,
Unknown,Golden Plains BESS 2 - KCI,VIC1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
GPWFEST1,Golden Plains Wind Farm East,VIC1,Wind,Semi-scheduled,6.2,In Commissioning,2025.0,,
GPWFEST2,Golden Plains Wind Farm East,VIC1,Wind,Semi-scheduled,6.2,In Commissioning,2025.0,,
GPWFEST3,Golden Plains Wind Farm East,VIC1,Wind,Semi-scheduled,6.2,In Commissioning,2025.0,,
Unknown,Golden Plains Wind Farm West,VIC1,Wind,Semi-scheduled,5.99,Committed,2027.0,,
Unknown,GoodNight Hybrid Facility - Solar And BESS,QLD1,Battery Storage,Scheduled,200.0,Publicly Announced,,,
Unknown,GoodNight Hybrid Facility - Solar And BESS,QLD1,Solar PV,Semi-scheduled,160.0,Publicly Announced,,,
Unknown,Goombi Renewable Energy Hub,QLD1,Wind,Semi-scheduled,6.2,Publicly Announced,,,
GOONSF1,Goonumbla Solar Farm,NSW1,Solar PV,Semi-scheduled,2.25,In Service,,,
Unknown,Goorambat BESS (LightsourceBP),VIC1,Battery Storage,Scheduled,200.0,Publicly Announced,2031.0,,
GOESF1,Goorambat East Solar Farm (ENGIE),VIC1,Solar PV,Semi-scheduled,250.0,Committed,2026.0,,
GORDON,Gordon,TAS1,Hydro,Scheduled,144.0,In Service,,,
GORDON,Gordon,TAS1,Hydro,Scheduled,144.0,In Service,,,
GORDON,Gordon,TAS1,Hydro,Scheduled,144.0,In Service,,,
Unknown,Goulburn River BESS,NSW1,Battery Storage,Scheduled,450.0,Anticipated,2029.0,,
Unknown,Goulburn River Solar Farm And BESS,NSW1,Battery Storage,Scheduled,0.89,Committed,2027.0,,
Unknown,Goulburn River Solar Farm And BESS,NSW1,Solar PV,Semi-scheduled,4.2,Committed,2027.0,,
Unknown,Gould Creek BESS,SA1,Battery Storage,Scheduled,215.0,Publicly Announced,,,
